dynasty,title,author,original_phrase,original_phrase_en,sound_source_raw,sound_source_en,context_window,sound_category,perception_reality,is_negated,lng/X,lat/Y,certainty
Tang,兵车行,杜甫,马萧萧,horses neigh,马,horses,车辚辚，马萧萧,Animal,real,FALSE,108.946306,34.347436,T
Tang,兵车行,杜甫,哭声,crying sound,耶娘妻子,"parents, wives, and children",牵衣顿足阑道哭，哭声直上干云霄,Human,real,FALSE,108.946306,34.347436,T
Tang,赠卫八处士,杜甫,惊呼,startled exclamation,诗人,poet,访旧半为鬼，惊呼热中肠。,Human,real,FALSE,109.778378,34.518619,T
Tang,哀江头,杜甫,嚼啮,chew and gnaw,白马,white horse,白马嚼啮黄金勒,Animal,memory,FALSE,108.946306,34.347436,T
Tang,哀王孙,杜甫,泣路隅,weeping at the roadside,王孙,prince,腰下实玦青珊瑚，可怜王孙泣路隅。,Human,real,FALSE,111.630105,34.5751885,T
Tang,哀王孙,杜甫,不敢长语,dare not speak at length,诗人,poet,不敢长语临交衢，且为王孙立斯须。,Human,real,TRUE,111.630105,34.5751885,T
Tang,哀王孙,杜甫,慎勿出口,be careful not to speak out,王孙,prince,花门剺面请雪耻，慎勿出口他人狙。,Human,imagination,TRUE,111.630105,34.5751885,T
Tang,佳人,杜甫,那闻旧人哭,how can one hear the old person weep,旧人,old person (the abandoned wife),但见新人笑，那闻旧人哭。,Human,real,TRUE,106.7708745,32.5817205,T
Tang,梦李白二首 一,杜甫,吞声,swallow sound,人,person,死别已吞声,Human,real,FALSE,105.72,34.58,T
Tang,韦讽录事宅观曹将军画马图,杜甫,叹嗟,sigh and exclaim,识者,connoisseurs,复令识者久叹嗟,Human,real,FALSE,104.071216,30.576279,T
Tang,观公孙大娘弟子舞剑器行,杜甫,雷霆收震怒,thunder gathers its fury,雷霆,thunder,来如雷霆收震怒,Nature,imagination,FALSE,109.470533,31.024561,T
Tang,观公孙大娘弟子舞剑器行,杜甫,急管,urgent pipes,管,pipes (wind instrument),玳筵急管曲复终,Instrument,real,FALSE,109.470533,31.024561,T
Tang,观公孙大娘弟子舞剑器行,杜甫,曲复终,the music ends again,曲,music,玳筵急管曲复终,Instrument,real,FALSE,109.470533,31.024561,T
Tang,观公孙大娘弟子舞剑器行,杜甫,问答,question and answer,问答,dialogue,与余问答既有以,Human,real,FALSE,109.470533,31.024561,T
Tang,寻陆鸿渐不遇,皎然,扣门无犬吠,knock on the door but no dog barks,犬,dog,扣门无犬吠,Animal,real,TRUE,120.1,30.86,T
Tang,寻陆鸿渐不遇,皎然,扣门,knock on the door,扣门,knocking on the door,扣门无犬吠,Environment,real,FALSE,120.1,30.86,T
Tang,西塞山怀古,刘禹锡,萧萧,rustling sound,芦荻,reeds,故垒萧萧芦荻秋,Nature,real,FALSE,115.1046,30.2072,T
Tang,枫桥夜泊,张继,乌啼,crows cawing,乌,crow,月落乌啼霜满天,Animal,real,FALSE,120.5683,31.3095,T
Tang,酬程延秋夜即事见赠,韩翃,砧杵夜千家,pounding blocks and pestles at night in a thousand homes,砧杵,washing blocks and pestles,砧杵夜千家,Environment,real,FALSE,,,
Tang,酬程延秋夜即事见赠,韩翃,不觉已鸣鸦,unaware that crows have already cawed,鸦,crows,不觉已鸣鸦,Animal,real,FALSE,,,
Tang,秋夜寄丘二十二员外,韦应物,松子落,pine seeds falling,松子,pine seeds,山空松子落,Nature,real,FALSE,120.58,31.3,T
Tang,送杨氏女,韦应物,两别泣不休,weeping without cease at parting,泣,weeping,幼为长所育，两别泣不休,Human,real,FALSE,118.3171,32.3016,T
Tang,夕次盱眙县,韦应物,听钟,hear the bell,钟,bell,听钟未眠客,Environment,real,FALSE,118.5444,33.012,T
Tang,东郊,韦应物,春鸠鸣何处,spring doves call somewhere,春鸠,spring doves,春鸠鸣何处,Animal,real,FALSE,108.94,34.13,T
Tang,滁州西涧,韦应物,黄鹂深树鸣,orioles sing in the deep trees,黄鹂,orioles,上有黄鹂深树鸣,Animal,real,FALSE,118.3171,32.3016,T
Tang,和晋陵陆丞早春游望,韦应物,忽闻歌苦调,suddenly hear a song with bitter tune,歌,song,忽闻歌苦调,Human,real,FALSE,119.9613,31.7815,T
Tang,白雪歌送武判官归京,岑参,胡琴琵琶与羌笛,"Huqin, pipa, and Qiang flute",胡琴琵琶与羌笛,"Huqin, pipa, and Qiang flute",中军置酒饮归客，胡琴琵琶与羌笛。,Instrument,real,FALSE,108.94,34.34,T
Tang,轮台歌奉送封大夫出师西征,岑参,吹笛,play the flute,笛,flute,平明吹笛大军行,Instrument,real,FALSE,87.6,43.8,T
Tang,走马川行奉送出师西征,岑参,戈相拨,weapons clashing,戈,weapons,半夜军行戈相拨,Environment,real,FALSE,87.623314,43.832806,T
Tang,奉和中书舍人贾至早朝大明宫,岑参,鸡鸣,rooster crows,鸡,rooster,鸡鸣紫陌曙光寒,Animal,real,FALSE,108.9589,34.2941,T
Tang,奉和中书舍人贾至早朝大明宫,岑参,晓钟,morning bell,钟,bell,金阙晓钟开万户,Environment,real,FALSE,108.9589,34.2941,T
Tang,奉和中书舍人贾至早朝大明宫,岑参,阳春一曲,a song of Sunny Spring,曲,song,阳春一曲和皆难,Human,real,FALSE,108.9589,34.2941,T
Tang,书边事,张乔,调角,tuning the horn,角,horn,调角断清秋,Instrument,real,FALSE,,,
Tang,行路难三首 二,李白,弹劒作歌奏苦声,"playing sword and singing, producing bitter sounds",弹劒作歌,playing sword and singing,弹劒作歌奏苦声,Human,real,FALSE,108.946306,34.347436,T
Tang,长相思,李白,络纬秋啼金井阑,crickets chirp in autumn by the golden well railing,络纬,crickets,络纬秋啼金井阑,Animal,real,FALSE,113.8745985,32.472932,T
Tang,长相思,李白,空长叹,empty long sigh,人,person (the speaker),卷帷望月空长叹,Human,real,FALSE,113.8745985,32.472932,T
Tang,关山月,李白,叹息,sigh,戍客,garrison soldiers,高楼当此夜，叹息未应闲。,Human,real,FALSE,106.45,34.99,T
Tang,庐山谣寄卢侍御虚舟,李白,凤歌,phoenix song,凤歌,phoenix song,我本楚狂人，凤歌笑孔丘。,Human,memory,FALSE,115.9946,29.5556,T
Tang,庐山谣寄卢侍御虚舟,李白,笑,laugh,笑,laugh,我本楚狂人，凤歌笑孔丘。,Human,memory,FALSE,115.9946,29.5556,T
Tang,梦游天姥吟留别,李白,空中闻天鸡,in the air hear celestial rooster,天鸡,celestial rooster,半壁见海日，空中闻天鸡,Animal,dream,FALSE,120.955,29.33,T
Tang,梦游天姥吟留别,李白,熊咆龙吟,"bears roar, dragons chant",熊、龙,bears and dragons,熊咆龙吟殷岩泉,Animal,dream,FALSE,120.955,29.33,T
Tang,梦游天姥吟留别,李白,列缺霹雳,"lightning flashes, thunder crashes",霹雳,thunder,列缺霹雳，丘峦崩摧,Nature,dream,FALSE,120.955,29.33,T
Tang,梦游天姥吟留别,李白,訇然中开,with a loud bang opens in the middle,洞天石扇,stone door of the cave heaven,洞天石扇，訇然中开,Environment,dream,FALSE,120.955,29.33,T
Tang,梦游天姥吟留别,李白,虎鼓瑟,tigers play zithers,虎,tigers,虎鼓瑟兮鸾回车,Instrument,dream,FALSE,120.955,29.33,T
Tang,梦游天姥吟留别,李白,长嗟,long sigh,诗人,poet,怳惊起而长嗟,Human,real,FALSE,120.955,29.33,T
Tang,送友人,李白,萧萧班马鸣,the neighing of the departing horse,班马,departing horse,挥手自兹去，萧萧班马鸣。,Animal,real,FALSE,113.8745985,31.5175555,T
Tang,宣州谢朓楼饯别校书叔云,李白,酣高楼,drink heartily in the high tower,酣,drinking heartily (implies sounds of feasting),对此可以酣高楼,Human,real,FALSE,118.7563,30.9463,T
Tang,下终南山过斛斯山人宿置酒,李白,长歌吟松风,long song chanting with pine wind,歌,song,长歌吟松风，曲尽河星稀。,Human,real,FALSE,108.94,34.1,T
Tang,下终南山过斛斯山人宿置酒,李白,曲尽,song ends,曲,melody,长歌吟松风，曲尽河星稀。,Human,real,FALSE,108.94,34.1,T
Tang,早发白帝城,李白,猨声啼,monkeys crying,猨,monkeys,两岸猨声啼不尽,Animal,real,FALSE,109.5737,31.045,T
Tang,月下独酌四首 一,李白,我歌,I sing,我,I (the poet),我歌月裴回,Human,real,FALSE,108.946306,34.347436,T
Tang,听蜀僧濬弹琴,李白,弹琴,play the zither,蜀僧,Shu monk,听蜀僧濬弹琴,Instrument,real,FALSE,118.765196,30.946576,T
Tang,听蜀僧濬弹琴,李白,如听万壑松,as if hearing pines in ten thousand valleys,万壑松,pines in ten thousand valleys,为我一挥手，如听万壑松,Nature,imagination,FALSE,118.765196,30.946576,T
Tang,听蜀僧濬弹琴,李白,余响入霜钟,lingering sound enters the frosty bell,余响,lingering sound,客心洗流水，余响入霜钟,Instrument,real,FALSE,118.765196,30.946576,T
Tang,淮上喜会梁川故人,韦应物,欢笑,laughing and talking happily,故人,old friends,欢笑情如旧,Human,real,FALSE,117.35,32.97,T
Tang,郡斋雨中与诸文士燕集,韦应物,仰聆金玉章,look up and listen to the golden jade chapters,金玉章,golden jade chapters (poems),俯饮一杯酒，仰聆金玉章。,Human,real,FALSE,120.5683,31.3095,T
Tang,相和歌辞 燕歌行,高适,歌舞,singing and dancing,美人,beautiful women,美人帐下犹歌舞,Human,real,FALSE,117.41,40.05,T
Tang,相和歌辞 燕歌行,高适,啼,weep,玉箸,jade chopsticks (tears),玉箸应啼别离后,Human,real,FALSE,117.41,40.05,T
Tang,相和歌辞 燕歌行,高适,寒声一夜传刁斗,cold sound all night passes the watchtower,刁斗,watchman's clapper,寒声一夜传刁斗,Environment,real,FALSE,117.41,40.05,T
Tang,相和歌辞 从军行,李颀,琵琶幽怨,lute's plaintive sound,琵琶,lute,公主琵琶幽怨多,Instrument,real,FALSE,,,
Tang,相和歌辞 从军行,李颀,胡雁哀鸣,wild geese cry mournfully,胡雁,wild geese,胡雁哀鸣夜夜飞,Animal,real,FALSE,,,
Tang,相和歌辞 蜀道难,李白,噫吁嚱,alas,诗人,poet,噫吁嚱！危乎高哉！,Human,real,FALSE,104.0668,30.5728,T
Tang,相和歌辞 蜀道难,李白,坐长叹,sits and sighs deeply,诗人,poet,以手抚膺坐长叹,Human,real,FALSE,104.0668,30.5728,T
Tang,相和歌辞 蜀道难,李白,悲鸟号枯木,sad birds cry on withered trees,悲鸟,sad birds,但见悲鸟号枯木,Animal,real,FALSE,104.0668,30.5728,T
Tang,相和歌辞 蜀道难,李白,雄飞呼雌,male flies calling female,雄鸟,male bird,雄飞呼雌绕林间,Animal,real,FALSE,104.0668,30.5728,T
Tang,相和歌辞 蜀道难,李白,子规啼夜月,cuckoo cries at night moon,子规,cuckoo,又闻子规啼夜月,Animal,real,FALSE,104.0668,30.5728,T
Tang,相和歌辞 蜀道难,李白,飞湍瀑流相喧豗,flying torrents and waterfalls clamor together,飞湍瀑流,flying torrents and waterfalls,飞湍瀑流相喧豗,Nature,real,FALSE,104.0668,30.5728,T
Tang,相和歌辞 蜀道难,李白,砅崖转石万壑雷,pounding cliffs and rolling stones thunder in ten thousand valleys,砅崖转石,pounding cliffs and rolling stones,砅崖转石万壑雷,Nature,real,FALSE,104.0668,30.5728,T
Tang,相和歌辞 蜀道难,李白,长咨嗟,long sigh,诗人,poet,侧身西望长咨嗟,Human,real,FALSE,104.0668,30.5728,T
Tang,杂曲歌辞 长相思三首 一,李白,络纬秋啼金井栏,katydids cry in autumn by the golden well railing,络纬,katydids,络纬秋啼金井栏,Animal,real,FALSE,,,
Tang,杂曲歌辞 长相思三首 一,李白,空长叹,empty long sigh,人（诗人）,person (the poet),卷帷望月空长叹,Human,real,FALSE,,,
Tang,杂曲歌辞 长相思三首 二,李白,赵瑟初停凤凰柱,Zhao zither just stopped on phoenix bridge,瑟,zither,赵瑟初停凤凰柱,Instrument,memory,FALSE,,,
Tang,杂曲歌辞 长相思三首 二,李白,蜀琴欲奏鸳鸯弦,Shu qin about to play mandarin duck strings,琴,qin,蜀琴欲奏鸳鸯弦,Instrument,imagination,FALSE,,,
Tang,杂曲歌辞 行路难三首 二,李白,弹劒作歌奏苦声,"playing sword and singing, producing bitter sounds",弹劒作歌,playing sword and singing,弹劒作歌奏苦声,Human,real,FALSE,108.946306,34.347436,T
Tang,杂曲歌辞 长干行二首 一,李白,千唤不一回,called a thousand times but she does not turn back,唤,calling,千唤不一回,Human,real,FALSE,,,
Tang,杂曲歌辞 长干行二首 一,李白,猨鸣天上哀,monkeys cry mournfully in the sky,猨鸣,monkey cries,猨鸣天上哀,Animal,real,FALSE,,,
Tang,杂曲歌辞 独不见,沈佺期,寒砧催下叶,cold anvil urges falling leaves,砧,anvil (for washing clothes),九月寒砧催下叶,Environment,real,FALSE,,,
Tang,春思,皇甫冉,莺啼燕语,orioles chirping and swallows twittering,莺燕,orioles and swallows,莺啼燕语报新年,Animal,real,FALSE,119.58,32.01,F
Tang,夜月,刘方平,虫声,insect sound,虫,insect,虫声新透绿窗纱,Animal,real,FALSE,112.85,34.48,F
Tang,宫词五首 二,顾况,起笙歌,rise of sheng music and song,笙歌,sheng music and song,玉楼天半起笙歌,Instrument,real,FALSE,,,
Tang,宫词五首 二,顾况,笑语,laughter and talk,宫嫔,palace ladies,风送宫嫔笑语和,Human,real,FALSE,,,
Tang,宫词五首 二,顾况,闻夜漏,hear the night water-clock,夜漏,night water-clock,月殿影开闻夜漏,Environment,real,FALSE,,,
Southern Song,湘春夜月,黄孝迈,清歌,clear song,翠禽,kingfisher bird,可惜一片清歌，都付与黄昏,Animal,real,FALSE,112.944,28.228,T
Southern Song,湘春夜月,黄孝迈,低诉,whisper softly,柳花,willow catkins,欲共柳花低诉，怕柳花轻薄，不解伤春,Human,imagination,FALSE,112.944,28.228,T
Southern Song,湘春夜月,黄孝迈,空樽夜泣,empty wine vessel weeps at night,空樽,empty wine vessel,空樽夜泣，青山不语，残月当门,Environment,real,FALSE,112.944,28.228,T
Southern Song,湘春夜月,黄孝迈,青山不语,green mountains do not speak,青山,green mountains,空樽夜泣，青山不语，残月当门,Nature,real,TRUE,112.944,28.228,T
Southern Song,瑞鹤仙,陆叡,疏钟催晓,sparse bell urges dawn,钟,bell,但疏钟催晓，乱鸦啼暝,Environment,real,FALSE,120.58,30.01,T
Southern Song,瑞鹤仙,陆叡,乱鸦啼暝,chaotic crows cry at dusk,鸦,crows,但疏钟催晓，乱鸦啼暝,Animal,real,FALSE,120.58,30.01,T
Southern Song,霜叶飞,吴文英,残蛩语,remaining cricket chirping,残蛩,remaining cricket,夜冷残蛩语,Animal,real,FALSE,120.58,31.3,T
Southern Song,瑞鹤仙,吴文英,歌尘凝扇,song dust congeals on the fan,歌,song,歌尘凝扇,Human,memory,FALSE,120.4542835,30.7666115,T
Southern Song,齐天乐,吴文英,乱蛩疏雨里,in the chaotic crickets and sparse rain,蛩,crickets,可惜秋宵，乱蛩疏雨里。,Animal,real,FALSE,120.3420895,30.6705425,T
Southern Song,齐天乐,吴文英,疏雨,sparse rain,雨,rain,可惜秋宵，乱蛩疏雨里。,Nature,real,FALSE,120.3420895,30.6705425,T
Southern Song,风入松,吴文英,听风听雨,listening to wind and rain,风雨,wind and rain,听风听雨过清明。,Nature,real,FALSE,120.586673,30.036519,T
Southern Song,风入松,吴文英,啼莺,orioles singing,莺,oriole,交加晓梦啼莺。,Animal,dream,FALSE,120.586673,30.036519,T
Southern Song,莺啼序,吴文英,似说春事迟暮,seems to speak of spring's late affairs,燕,swallow,燕来晚、飞入西城，似说春事迟暮。,Animal,real,FALSE,120.176955,30.239356,T
Southern Song,莺啼序,吴文英,歌纨,singing fan,歌纨,singing fan (a fan used while singing),断红湿、歌纨金缕。,Human,memory,FALSE,120.176955,30.239356,T
Southern Song,莺啼序,吴文英,弹入哀筝柱,pluck into the sad zheng's strings,哀筝,sad zheng (a string instrument),漫相思、弹入哀筝柱。,Instrument,imagination,FALSE,120.176955,30.239356,T
Southern Song,莺啼序,吴文英,怨曲重招,a plaintive tune summons again,怨曲,plaintive tune,伤心千里江南，怨曲重招，断魂在否。,Instrument,imagination,FALSE,120.176955,30.239356,T
Southern Song,惜黄花慢,吴文英,凤咽琼箫,phoenix sobs on jade flute,琼箫,jade flute,仙人凤咽琼箫,Instrument,real,FALSE,120.64,31.16,T
Southern Song,惜黄花慢,吴文英,歌云载恨,song clouds carry hatred,歌,song,歌云载恨，飞上银霄,Human,real,FALSE,120.64,31.16,T
Southern Song,瑞鹤仙,袁去华,无语,without words,人（说话者）,person (speaker),无语。,Human,real,TRUE,,,
Southern Song,剑器近,袁去华,莺啼燕语,orioles chirping and swallows twittering,莺燕,orioles and swallows,试细听、莺啼燕语,Animal,real,FALSE,,,
Southern Song,安公子,袁去华,鸦啼,crows cawing,鸦,crow,嫩黄匀遍鸦啼处,Animal,real,FALSE,,,
Southern Song,安公子,袁去华,哀弦危柱,sad strings and perilous bridges,弦,strings,尘满哀弦危柱,Instrument,imagination,FALSE,,,
Southern Song,安公子,袁去华,百啭黄鹂语,oriole's hundred warbles,黄鹂,oriole,闲傍枕、百啭黄鹂语,Animal,real,FALSE,,,
Northern Song,凤箫吟・芳草,韩缜,泣送征轮,weeping to see off the departing carriage,征轮,departing carriage,暗垂珠泪，泣送征轮,Human,real,FALSE,116.1,39,T
Northern Song,桂枝香,王安石,时时犹唱,still often sing,商女,singing girls,至今商女，时时犹唱，後庭遗曲。,Human,real,FALSE,118.802891,32.064735,T
Northern Song,清平乐,王安石,莺儿语,orioles' speech,莺儿,orioles,费尽莺儿语,Animal,memory,FALSE,,,
Northern Song,清平乐,王安石,风雨,wind and rain,风雨,wind and rain,昨夜南园风雨,Nature,memory,FALSE,,,
Northern Song,清平乐,王安石,琵琶,pipa (lute),琵琶,pipa,小怜初上琵琶,Instrument,memory,FALSE,,,
Northern Song,千秋岁引,王安石,寒砧,cold anvil (sound of pounding clothes),砧,anvil,别馆寒砧,Environment,real,FALSE,118.78,32.04,T
Northern Song,千秋岁引,王安石,画角,painted horn (military bugle),角,horn,孤城画角,Instrument,real,FALSE,118.78,32.04,T
Northern Song,千秋岁引,王安石,秋声,autumn sounds,秋声,autumn sounds,一派秋声入寥廓,Nature,real,FALSE,118.78,32.04,T
Northern Song,清平乐,王安国,莺儿语,orioles' speech,莺儿,orioles,费尽莺儿语,Animal,memory,FALSE,,,
Northern Song,清平乐,王安国,琵琶,pipa (lute),琵琶,pipa,小怜初上琵琶,Instrument,memory,FALSE,,,
Northern Song,临江仙,晏几道,琵琶弦上说相思,the pipa strings speak of longing,琵琶,pipa (lute),琵琶弦上说相思,Instrument,memory,FALSE,,,
Northern Song,蝶恋花,晏几道,歌别绪,sing of parting sorrows,人,person,却倚缓弦歌别绪,Human,real,FALSE,,,
Northern Song,蝶恋花,晏几道,缓弦,slow strings,弦,strings,却倚缓弦歌别绪,Instrument,real,FALSE,,,
Northern Song,蝶恋花,晏几道,移破秦筝柱,move and break the zheng's bridges,秦筝,Qin zheng (instrument),断肠移破秦筝柱,Instrument,real,FALSE,,,
Northern Song,鹧鸪天,晏几道,歌尽,singing exhausts,歌,singing,歌尽桃花扇影风,Human,memory,FALSE,,,
Northern Song,清平乐,晏几道,晓莺啼,morning orioles chirping,莺,oriole,过尽晓莺啼处,Animal,memory,FALSE,,,
Northern Song,菩萨蛮,晏几道,哀筝一弄湘江曲,sad zither plays a tune of Xiang River,筝,zither,哀筝一弄湘江曲,Instrument,real,FALSE,,,F
Northern Song,菩萨蛮,晏几道,弹到断肠时,playing until heartbreak,弹,playing (the zither),弹到断肠时,Instrument,real,FALSE,,,F
Northern Song,阮郎归,晏几道,清歌,clear song,歌,song,清歌莫断肠,Human,imagination,FALSE,114.31,34.79,T
Northern Song,六么令,晏几道,新翻曲妙,newly composed tune is exquisite,曲,tune,新翻曲妙，暗许闲人带偷掏。,Instrument,real,FALSE,,,
Northern Song,六么令,晏几道,笙歌散了,the reed pipe songs have dispersed,笙歌,reed pipe songs,都待笙歌散了，记取留时霎。,Instrument,real,FALSE,,,
Northern Song,留春令,晏几道,水声中,in the sound of water,水声,sound of water,楼下分流水声中,Nature,real,FALSE,114.31,34.79,F
Northern Song,水龙吟,苏轼,莺呼起,oriole calls up,莺,oriole,又还被、莺呼起,Animal,dream,FALSE,117.8221265,34.137992,T
Northern Song,临江仙,苏轼,敲门都不应,knocking on the door but no answer,敲门,knocking on the door,敲门都不应,Environment,real,FALSE,117.2925205,28.663276,T
Northern Song,定风波,苏轼,穿林打叶声,sound of wind and rain piercing the forest and hitting leaves,风雨,wind and rain,莫听穿林打叶声,Nature,real,FALSE,117.2377985,32.5415,T
Northern Song,定风波,苏轼,吟啸,chanting and whistling,人,person,何妨吟啸且徐行,Human,real,FALSE,117.2377985,32.5415,T
Northern Song,贺新郎,苏轼,风敲竹,wind knocking bamboo,风,wind,又却是，风敲竹。,Nature,real,FALSE,114.423348,23.116409,T
Northern Song,洞仙歌,苏轼,庭户无声,courtyard and house are silent,庭户,courtyard and house,起来携素手，庭户无声，时见疏星渡河汉。,Environment,real,TRUE,114.596388,32.6311815,T
Northern Song,江神子・江城子,苏轼,无处话凄凉,nowhere to speak of my sorrow,话,speech,千里孤坟，无处话凄凉,Human,real,TRUE,119.41,35.99,T
Northern Song,江神子・江城子,苏轼,相顾无言,looking at each other without words,言,speech,相顾无言，惟有泪千行,Human,dream,TRUE,119.41,35.99,T
Northern Song,永遇乐,苏轼,铿然一叶,a leaf falls with a clang,一叶,a leaf,如三鼓，铿然一叶，黯黯梦云惊断。,Nature,dream,FALSE,118.2609605,34.4062425,T
Northern Song,永遇乐,苏轼,三鼓,third drum (night watch),鼓,drum,如三鼓，铿然一叶，黯黯梦云惊断。,Environment,dream,FALSE,118.2609605,34.4062425,T
Northern Song,谢池春,李之仪,疏雨过,sparse rain passes,雨,rain,残寒销尽，疏雨过、清明後。,Nature,real,FALSE,118.49,31.55,T
Southern Song,高阳台,韩,频听银签,frequently hear the silver clepsydra,银签,silver clepsydra (water clock),频听银签，重燃绛蜡，年华衮衮惊心。,Environment,real,FALSE,120.16,30.29,F
Southern Song,高阳台,韩,伴我微吟,accompany me in soft chanting,我,I (the poet),多谢梅花，伴我微吟。,Human,real,FALSE,120.16,30.29,F
Southern Song,生查子,刘克庄,戏鼓侵明发,playful drums invade the dawn,鼓,drum,戏鼓侵明发,Instrument,real,FALSE,118.13,27.34,T
Southern Song,生查子,刘克庄,人散市声收,"people disperse, market sounds cease",市声,market sounds,人散市声收,Environment,real,TRUE,118.13,27.34,T
Southern Song,高阳台,张炎,听啼鹃,hear the cuckoo's cry,啼鹃,cuckoo's cry,怕听啼鹃,Animal,real,FALSE,118.2876235,35.095536,T
Southern Song,高阳台,张炎,笙歌,reed pipe songs,笙歌,reed pipe music and singing,无心再续笙歌梦,Instrument,memory,TRUE,118.2876235,35.095536,T
Southern Song,贺新郎,刘克庄,争旗鼓,compete with flags and drums,鼓,drum,任陌头、年少争旗鼓,Instrument,real,FALSE,116.716243,27.6000215,T
Southern Song,贺新郎,刘克庄,溪雨急,stream rain urgent,溪雨,stream rain,溪雨急，浪花舞,Nature,real,FALSE,116.716243,27.6000215,T
Southern Song,贺新郎,刘克庄,斜风细雨,slanting wind and fine rain,风,wind,更那堪、斜风细雨，乱愁如织。,Nature,real,FALSE,116.716243,27.6000215,T
Southern Song,玉楼春,刘克庄,呼庐,shouting at dice game,人声,human voices,红烛呼庐宵不寐,Human,real,FALSE,120.16,30.29,F
Southern Song,好事近,韩元吉,梨园声,sounds of the Pear Garden,梨园,Pear Garden (imperial music academy),多少梨园声在,Instrument,memory,FALSE,116.131966,31.6319025,T
Southern Song,好事近,韩元吉,御沟声断,imperial ditch sound broken,御沟,imperial ditch (water channel),惟有御沟声断,Nature,real,FALSE,116.131966,31.6319025,T
Southern Song,好事近,韩元吉,呜咽,sobbing,人,person (implied),似知人呜咽,Human,real,FALSE,116.131966,31.6319025,T
Southern Song,六州歌头,韩元吉,玉勒争嘶,jade-bit horses neigh in competition,马,horse,草软莎平跋马，垂杨渡、玉勒争嘶。,Animal,real,FALSE,120.16,30.29,F
Southern Song,烛影摇红,张抡,揭天丝管,sky-piercing strings and pipes,丝管,strings and pipes (musical instruments),五云深处，万烛光中，揭天丝管。,Instrument,memory,FALSE,120.16,30.29,T
Southern Song,烛影摇红,张抡,几声归雁,a few calls of returning wild geese,归雁,returning wild geese,满怀幽恨，数点寒灯，几声归雁。,Animal,real,FALSE,120.16,30.29,T
Southern Song,永遇乐,辛弃疾,舞榭歌台,dancing pavilion and singing stage,歌台,singing stage,舞榭歌台，风流总被，雨打风吹去。,Human,memory,FALSE,118.5736685,30.2586685,T
Southern Song,永遇乐,辛弃疾,雨打风吹,rain beats and wind blows,雨打风吹,rain and wind,舞榭歌台，风流总被，雨打风吹去。,Nature,real,FALSE,118.5736685,30.2586685,T
Southern Song,永遇乐,辛弃疾,金戈铁马,metal spears and iron horses,金戈铁马,weapons and warhorses,想当年，金戈铁马，气吞万里如虎。,Environment,memory,FALSE,118.5736685,30.2586685,T
Southern Song,绿意・疏影,张炎,鸳鸯密语同倾盖,Mandarin ducks whisper intimately under the same canopy,鸳鸯,mandarin ducks,鸳鸯密语同倾盖,Animal,real,FALSE,120.16,30.29,T
Southern Song,绿意・疏影,张炎,恐怨歌、忽断花风,fear that the resentful song might suddenly break the flower wind,怨歌,resentful song,恐怨歌、忽断花风,Human,imagination,FALSE,120.16,30.29,T
Southern Song,绿意・疏影,张炎,西风吹折,the west wind blows and breaks,西风,west wind,又一夜、西风吹折,Nature,real,FALSE,120.16,30.29,T
Northern Song,绿头鸭・多丽,晁端礼,漏声正永,the sound of the water clock is long,漏,water clock,最关情、漏声正永，暗断肠、花影偷移。,Environment,real,FALSE,114.313904,34.802941,T
Northern Song,青门饮,时彦,胡马嘶风,Tartar horses neigh in the wind,胡马,Tartar horses,胡马嘶风，汉旗翻雪,Animal,real,FALSE,116.41,39.91,T
Northern Song,青门饮,时彦,耳边曾道,once whispered by the ear,人声,human voice,料有牵情处，忍思量、耳边曾道,Human,memory,FALSE,116.41,39.91,T
Northern Song,青门饮,时彦,认得迎门轻笑,recognize the light laughter greeting at the door,轻笑,light laughter,甚时跃马归来，认得迎门轻笑,Human,imagination,FALSE,116.41,39.91,T
Northern Song,满庭芳,秦观,画角声断谯门,the sound of the painted horn breaks off at the watchtower gate,画角,painted horn (military instrument),画角声断谯门,Instrument,real,FALSE,117.4502885,32.41973,T
Northern Song,阮郎归,秦观,丽谯吹罢《小单于》,the beautiful watchtower finishes playing 'Little Chanyu',丽谯,beautiful watchtower (with music),丽谯吹罢《小单于》,Instrument,real,FALSE,113.0544,27.01424,T
Northern Song,满庭芳,秦观,按小秦筝,play the small Qin zheng,小秦筝,small Qin zheng (a string instrument),低底按小秦筝,Instrument,real,FALSE,117.4502885,32.41973,T
Northern Song,醉中真・浣溪沙,贺铸,艳歌,beautiful song,歌,song,巧笑艳歌皆我意,Human,real,FALSE,114.31,31.79,T
Northern Song,伴云来・天香,贺铸,黄昏钟鼓,evening bells and drums,钟鼓,bells and drums,逦迤黄昏钟鼓,Environment,real,FALSE,119.92,31.15,T
Northern Song,伴云来・天香,贺铸,蛩催机杼,crickets urge the loom,蛩,crickets,蛩催机杼,Animal,real,FALSE,119.92,31.15,T
Northern Song,伴云来・天香,贺铸,几声砧杵,several sounds of washing mallets,砧杵,washing mallets,齐应和、几声砧杵,Environment,real,FALSE,119.92,31.15,T
Northern Song,伴云来・天香,贺铸,无人晤语,no one to talk to,语,speech,幽恨无人晤语,Human,real,TRUE,119.92,31.15,T
Southern Song,高阳台,吴文英,啼鸟,singing birds,鸟,bird,最愁人，啼鸟晴明,Animal,real,FALSE,120.16,30.29,F
